date,direction,stock_code,stock_name,close,return,amount_100m,turnover,industry,source
2026-08-21,limit_up,002038,双鹭药业,7.0800000000,0.0993788815,4.1461384000,0.0687583733,化学制药,东方财富涨跌停池直接接口
2026-08-21,limit_up,003040,楚天龙,12.7900000000,0.0997420502,3.9763380800,0.0681920624,通信设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,603758,秦安股份,11.7600000000,0.1000935459,3.8346139200,0.0797182083,汽车零部,东方财富涨跌停池直接接口
2026-08-21,limit_up,301591,肯特股份,37.7800000000,0.2001270676,3.8120070400,0.2490337181,塑料,东方财富涨跌停池直接接口
2026-08-21,limit_up,002631,德尔未来,9.5400000000,0.1003460217,3.7689675200,0.0517649031,家居用品,东方财富涨跌停池直接接口
2026-08-21,limit_up,003018,金富科技,43.0200000000,0.0999744320,3.7603222400,0.0316041756,包装印刷,东方财富涨跌停池直接接口
2026-08-21,limit_up,688356,键凯科技,107.3400000000,0.2000000000,3.5102820800,0.0539193439,化学制药,东方财富涨跌停池直接接口
2026-08-21,limit_up,002886,沃特股份,21.2400000000,0.0999482155,3.5005126400,0.0829553604,塑料,东方财富涨跌停池直接接口
2026-08-21,limit_up,002971,和远气体,46.6100000000,0.1000708008,3.2385360000,0.0440877295,化学制品,东方财富涨跌停池直接接口
2026-08-21,limit_up,000931,中 关 村,5.0900000000,0.0993520546,3.1851740800,0.0835232830,化学制药,东方财富涨跌停池直接接口
2026-08-21,limit_up,002638,勤上股份,4.1300000000,0.1013333321,3.1738750400,0.0590033436,照明设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,603958,哈森股份,20.5500000000,0.1001070690,3.1326044800,0.0699399614,服装家纺,东方财富涨跌停池直接接口
2026-08-21,limit_up,002449,国星光电,7.0700000000,0.0995334435,3.0565120000,0.0712193918,光学光电,东方财富涨跌停池直接接口
2026-08-21,limit_up,000017,深中华A,7.1100000000,0.1006192017,2.9418228800,0.0943013287,饰品,东方财富涨跌停池直接接口
2026-08-21,limit_up,002988,豪美新材,24.1100000000,0.0999087620,2.8038878400,0.0474970388,工业金属,东方财富涨跌停池直接接口
2026-08-21,limit_up,603052,可川科技,61.4600000000,0.1000537014,2.7175876800,0.0240869904,消费电子,东方财富涨跌停池直接接口
2026-08-21,limit_up,603803,瑞斯康达,11.3200000000,0.1000971794,2.6111931800,0.0558372641,通信设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,002686,亿利达,6.7200000000,0.0998363304,2.3755151500,0.0681403303,通用设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,002412,汉森制药,10.1900000000,0.1004319668,2.2953034100,0.0452451229,中药Ⅱ,东方财富涨跌停池直接接口
2026-08-21,limit_up,300839,博汇股份,12.4700000000,0.2001924896,2.2594895200,0.0674155855,炼化及贸,东方财富涨跌停池直接接口
2026-08-21,limit_up,002209,达 意 隆,13.1600000000,0.1003344536,2.0629057400,0.0993818188,专用设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,603333,福华尚纬,9.8500000000,0.1005586624,1.8218541800,0.0299353433,电网设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,603079,圣达生物,14.0300000000,0.1003921509,1.6081178900,0.0630067158,化学制品,东方财富涨跌停池直接接口
2026-08-21,limit_up,601177,杭齿前进,13.9500000000,0.1001577282,1.2869398000,0.0229318833,通用设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,603095,越剑智能,15.2600000000,0.1002162933,1.1683852600,0.0302822590,专用设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,600785,新华百货,9.7400000000,0.1005649757,0.4966332500,0.0161417079,一般零售,东方财富涨跌停池直接接口
2026-08-25,limit_down,603156,养元饮品,42.9600000000,-0.0999371529,9.4744864000,0.0174166131,饮料乳品,东方财富涨跌停池直接接口
2026-08-25,limit_down,603226,菲林格尔,36.1400000000,-0.1000996017,1.5493229500,0.0118795741,家居用品,东方财富涨跌停池直接接口
2026-08-25,limit_up,002837,英维克,60.2300000000,0.1000913239,56.4653004800,0.0851327896,专用设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,002821,凯莱英,172.2300000000,0.1000191689,28.0727241600,0.0536889172,医疗服务,东方财富涨跌停池直接接口
2026-08-25,limit_up,600127,金健米业,9.3100000000,0.1004728127,27.1541662400,0.4616722870,农产品加,东方财富涨跌停池直接接口
2026-08-25,limit_up,688169,石头科技,135.0000000000,0.2000000000,25.5738904000,0.0747293854,小家电,东方财富涨跌停池直接接口
2026-08-25,limit_up,600172,黄河旋风,13.9900000000,0.0998427677,24.4981211200,0.1443343639,通用设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,002412,汉森制药,12.3300000000,0.0999107933,12.3622704000,0.2126590157,中药Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,002703,浙江世宝,15.8700000000,0.0997920990,11.5984692800,0.1288915920,汽车零部,东方财富涨跌停池直接接口
2026-08-25,limit_up,002081,金 螳 螂,5.5000000000,0.1000000000,11.4581900800,0.0828041363,装修装饰,东方财富涨跌停池直接接口
2026-08-25,limit_up,002041,登海种业,11.2100000000,0.1000981331,9.3112539200,0.0963973331,种植业,东方财富涨跌停池直接接口
2026-08-25,limit_up,003018,金富科技,45.9800000000,0.1000000000,8.8294118400,0.0715745783,包装印刷,东方财富涨跌停池直接接口
2026-08-25,limit_up,000070,特发信息,16.0700000000,0.0999315548,8.3341910400,0.0625519800,通信设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,600785,新华百货,11.7800000000,0.0999066353,7.8360036800,0.2259934807,一般零售,东方财富涨跌停池直接接口
2026-08-25,limit_up,603318,水发燃气,10.2400000000,0.0998925877,7.3902499200,0.1624376488,燃气Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,002947,恒铭达,59.6100000000,0.1000184536,6.8778259200,0.0604291725,消费电子,东方财富涨跌停池直接接口
2026-08-25,limit_up,003040,楚天龙,15.4800000000,0.1002132225,6.7844905600,0.0991386795,通信设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,000560,我爱我家,2.3900000000,0.1013824844,6.5756417600,0.1218109512,房地产服,东方财富涨跌停池直接接口
2026-08-25,limit_up,000779,甘咨询,10.0100000000,0.1000000000,6.0800676800,0.1359829521,工程咨询,东方财富涨跌停池直接接口
2026-08-25,limit_up,600103,青山纸业,3.1500000000,0.1013986015,5.1346155200,0.0750937653,造纸,东方财富涨跌停池直接接口
2026-08-25,limit_up,000017,深中华A,8.6000000000,0.0997442436,4.9748392000,0.1312454891,饰品,东方财富涨跌停池直接接口
2026-08-25,limit_up,000566,海南海药,4.9700000000,0.0995575142,4.8961270400,0.0784383631,化学制药,东方财富涨跌停池直接接口
2026-08-25,limit_up,603758,秦安股份,12.1200000000,0.0998185158,4.8524272000,0.0960299206,汽车零部,东方财富涨跌停池直接接口
2026-08-25,limit_up,600936,北投科技,5.0900000000,0.0993520546,4.7740136000,0.0573514843,IT服务Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,300097,智云股份,10.5400000000,0.2004555702,4.5379996800,0.1770122147,自动化设,东方财富涨跌停池直接接口
2026-08-25,limit_up,600508,上海能源,10.8700000000,0.1002024269,4.2324048000,0.0386298084,煤炭开采,东方财富涨跌停池直接接口
2026-08-25,limit_up,600714,金瑞矿业,17.2600000000,0.1000637341,4.2009518400,0.0920239162,化学原料,东方财富涨跌停池直接接口
2026-08-25,limit_up,003021,兆威机电,72.7800000000,0.1000604630,4.1611702400,0.0288443279,电机Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,600829,人民同泰,10.1400000000,0.0997830772,4.1605267200,0.0733824825,医药商业,东方财富涨跌停池直接接口
2026-08-25,limit_up,600371,万向德农,8.6700000000,0.1002538013,4.0626142400,0.1627227592,种植业,东方财富涨跌停池直接接口
2026-08-25,limit_up,603395,红四方,28.5500000000,0.1001926804,3.7566873600,0.2086239624,农化制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,002418,康盛股份,4.0500000000,0.1005434799,3.7478945600,0.0832064247,家电零部,东方财富涨跌停池直接接口
2026-08-25,limit_up,603912,佳力图,9.0800000000,0.1006060600,3.6115785600,0.0761781263,通用设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,300922,天秦装备,20.5300000000,0.1998830986,3.3148203200,0.1368289566,地面兵装,东方财富涨跌停池直接接口
2026-08-25,limit_up,002478,常宝股份,6.9200000000,0.1001589775,3.2547169600,0.0679658651,特钢Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,000695,滨海能源,15.3500000000,0.1003584290,2.9979312000,0.0900067520,电池,东方财富涨跌停池直接接口
2026-08-25,limit_up,603095,越剑智能,16.4000000000,0.0999329281,2.9186728000,0.0705041933,专用设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,002949,华阳国际,12.4400000000,0.0999115849,2.6615834000,0.1424002934,工程咨询,东方财富涨跌停池直接接口
2026-08-25,limit_up,002451,摩恩电气,8.1300000000,0.1001353168,2.5871436000,0.0772281790,电网设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,002907,华森制药,15.7400000000,0.0999301243,2.5430303500,0.0496290112,中药Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,002686,亿利达,6.8200000000,0.1000000000,2.5213810300,0.0732771778,通用设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,600698,湖南天雁,7.2800000000,0.0996978855,2.3083654300,0.0386634588,汽车零部,东方财富涨跌停池直接接口
2026-08-25,limit_up,002742,冀衡医药,4.6800000000,0.1011764717,2.2128828400,0.0922621918,化学制药,东方财富涨跌停池直接接口
2026-08-25,limit_up,603687,大胜达,14.4100000000,0.1000000000,2.1425061500,0.0286892009,包装印刷,东方财富涨跌停池直接接口
2026-08-25,limit_up,603079,圣达生物,13.8900000000,0.0997624683,2.1308452200,0.0840395355,化学制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,002963,豪尔赛,20.3200000000,0.1001624203,2.1293651900,0.0736097193,装修装饰,东方财富涨跌停池直接接口
2026-08-25,limit_up,600605,汇通能源,26.5800000000,0.1001655579,2.0695156600,0.0389567780,一般零售,东方财富涨跌停池直接接口
2026-08-25,limit_up,600470,六国化工,5.9300000000,0.1001855278,2.0607649600,0.0677653122,农化制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,603113,金能科技,5.4800000000,0.1004016113,1.8858533500,0.0419357443,化学原料,东方财富涨跌停池直接接口
2026-08-25,limit_up,002094,青岛金王,5.1400000000,0.1006423950,1.8573118300,0.0540989971,家居用品,东方财富涨跌停池直接接口
2026-08-25,limit_up,300642,透景生命,16.2000000000,0.2000000000,1.7873272100,0.0818323040,医疗器械,东方财富涨跌停池直接接口
2026-08-25,limit_up,603217,元利科技,28.3900000000,0.0999612617,1.7489712100,0.0309334278,化学制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,000796,凯撒旅业,4.1800000000,0.1000000000,1.6703795100,0.0304952931,旅游及景,东方财富涨跌停池直接接口
2026-08-25,limit_up,603637,镇海股份,14.0300000000,0.1003921509,1.6250290600,0.0499521351,专业工程,东方财富涨跌停池直接接口
2026-08-25,limit_up,600281,华阳新材,5.0500000000,0.1002178669,1.5866181900,0.0622979975,小金属,东方财富涨跌停池直接接口
2026-08-25,limit_up,603360,百傲化学,13.7700000000,0.0998402500,1.5784222900,0.0165190959,农化制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,002713,东易日盛,9.9600000000,0.1005524826,1.4946035600,0.0300527668,装修装饰,东方财富涨跌停池直接接口
2026-08-25,limit_up,002259,升达林业,4.1900000000,0.0997375298,1.1422010400,0.0379684305,燃气Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,600838,上海九百,8.0200000000,0.1001371765,1.1038730900,0.0348415971,一般零售,东方财富涨跌停池直接接口
2026-08-25,limit_up,000659,珠海中富,2.8500000000,0.1003860950,1.0563448100,0.0302289844,包装印刷,东方财富涨跌停池直接接口
2026-08-25,limit_up,605303,园林股份,22.8500000000,0.1001444340,0.8342401700,0.0228371310,基础建设,东方财富涨跌停池直接接口
2026-08-25,limit_up,002880,卫光生物,22.5500000000,0.1000000000,0.7824066600,0.0153997350,生物制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,000428,华天酒店,4.3200000000,0.0992366409,0.7678731000,0.0177920187,酒店餐饮,东方财富涨跌停池直接接口
2026-08-25,limit_up,600984,建设机械,4.9400000000,0.1002227116,0.6832415200,0.0110026383,工程机械,东方财富涨跌停池直接接口
2026-08-25,limit_up,002855,捷荣技术,11.0000000000,0.1000000000,0.5063374500,0.0193475306,消费电子,东方财富涨跌停池直接接口
2026-08-25,limit_up,002445,中南文化,3.7100000000,0.1008902073,0.2093857200,0.0023851283,通用设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,002084,海鸥住工,4.3500000000,0.1012658215,0.1111502000,0.0039637613,家居用品,东方财富涨跌停池直接接口
